"ID","Idade","Renda","Regiao","Genero","seguro auto","seguro vida Emp","seguro vida PF","Seguro Residencial","Investimento Fundos_cambiais","Investimento Fundos_commodities","Investimento LCI","Investimento LCA","Investimento Poupanca","Investimento Fundos Multimercado","Investimento Tesouro Direto","Financiamento Casa","Financiamento Carro","Emprestimo _pessoal","Emprestimo _consignado","Emprestimo _limite_especial","Emprestimo _educacao","Emprestimo _viagem","Investimento CDB","Investimento Fundos","$A-20 campos-1","$AC-20 campos-1","$A-Rule_ID-1","$A-20 campos-2","$AC-20 campos-2","$A-Rule_ID-2","$A-20 campos-3","$AC-20 campos-3","$A-Rule_ID-3"
"1446.00","51.983","7818.061","CO","0.00","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","seguro vida PF","0.834343","20",,,,,,
"1467.00","57.85","6943.308","NE","1.00","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0",,,,,,,,,
"1491.00","32.828","6924.499","CO","1.00","0","0","0","0","1","1","1","0","0","0","0","0","0","1","0","0","1","1","1","1",,,,,,,,,
"1503.00","30.736","8216.329","S","1.00","0","0","0","1","1","1","1","1","1","1","1","0","1","0","0","0","0","1","0","1","Investimento CDB","0.89923","131","Emprestimo _educacao","0.801184","8",,,
"1512.00","22.865","8358.508","SE","0.00","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","Investimento CDB","0.834699","2","Investimento Fundos","0.803279","1",,,
"1517.00","47.404","7993.075","NE","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",,,,,,,,,
"1533.00","36.147","10177.463","SE","0.00","1","1","1","1","1","0","0","0","0","0","0","1","1","1","1","1","0","0","0","0",,,,,,,,,
"1544.00","45.014","8555.527","NE","1.00","1","1","1","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0",,,,,,,,,
"1550.00","37.004","6684.662","SE","0.00","0","0","0","0","1","1","1","1","1","0","0","0","0","0","0","0","0","1","1","1","Emprestimo _educacao","0.887269","58",,,,,,
"1569.00","23.489","7126.112","SE","0.00","1","1","1","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0",,,,,,,,,
"1571.00","31.011","7023.718","S","0.00","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","1","1","1","Emprestimo _educacao","0.887269","58","Investimento LCI","0.826283","115","Investimento Fundos_cambiais","0.822335","123"
"1584.00","42.827","6697.742","SE","1.00","0","0","0","0","0","0","0","1","1","1","0","0","1","0","0","0","0","0","1","0",,,,,,,,,
"1590.00","42.541","8173.641","SE","0.00","0","0","0","1","0","0","0","0","0","1","1","0","0","1","1","1","1","1","1","1","seguro vida PF","0.834343","20",,,,,,
"1594.00","41.496","7573.653","CO","1.00","1","1","1","1","1","1","1","1","1","0","1","0","1","1","0","0","0","1","1","1","Emprestimo _educacao","0.887269","58",,,,,,
"1600.00","47.168","9747.181","NE","1.00","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,
"1613.00","53.808","6603.974","NE","1.00","0","0","0","1","1","1","1","1","1","0","1","0","0","1","0","0","0","1","1","1","Emprestimo _educacao","0.887269","58","seguro vida PF","0.834343","20",,,
"1635.00","47.054","7377.854","CO","1.00","0","1","0","0","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0",,,,,,,,,
"1638.00","38.083","7559.091","SE","1.00","0","0","0","0","1","1","0","0","0","0","1","1","0","0","0","0","0","0","1","0","Investimento LCI","0.944046","63","Investimento Poupanca","0.855811","66","Investimento LCA","0.805595","60"
"1640.00","49.853","7247.695","S","1.00","0","0","1","1","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","seguro auto","0.917863","25","seguro vida Emp","0.915192","32",,,
"1650.00","19.689","7312.56","N","0.00","0","0","0","0","1","1","1","0","0","0","1","0","0","1","0","0","0","0","1","0","Investimento Poupanca","0.855811","66","Investimento LCA","0.805595","60",,,
"1660.00","44.562","8631.708","SE","1.00","1","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","Seguro Residencial","0.9496","49","seguro vida PF","0.942301","29","Investimento LCI","0.855166","40"
"1689.00","43.732","7282.921","SE","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1",,,,,,,,,
"1695.00","43.49","8800.394","S","0.00","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","1","0","0","0","Investimento CDB","0.834699","2","Investimento Fundos","0.803279","1",,,
"1709.00","50.399","6924.99","SE","1.00","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,
"1710.00","63.596","7995.014","SE","0.00","1","1","1","1","0","0","1","0","0","1","1","0","1","0","0","0","0","0","1","0",,,,,,,,,
"1715.00","50.967","8189.253","NE","1.00","0","1","0","0","1","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0",,,,,,,,,
"1715.00","50.967","8189.253","NE","1.00","0","1","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","1","1","0",,,,,,,,,
"1715.00","27.585","6174.574","SE","0.00","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","1","1","0",,,,,,,,,
"1715.00","27.585","6174.574","SE","0.00","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0",,,,,,,,,
"1715.00","27.585","6174.574","SE","0.00","0","0","0","0","1","0","0","0","1","0","0","1","1","0","0","0","0","1","1","0",,,,,,,,,
"1715.00","27.585","6174.574","SE","0.00","0","0","0","0","1","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0",,,,,,,,,
"1715.00","50.967","8189.253","NE","1.00","0","1","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0",,,,,,,,,
"1715.00","50.967","8189.253","NE","1.00","0","1","0","0","1","0","0","0","1","0","0","1","1","0","0","0","0","1","1","0",,,,,,,,,
"1737.00","41.937","8685.633","SE","0.00","0","0","1","1","0","0","0","0","1","0","1","0","1","0","0","0","0","1","0","0","seguro auto","0.917863","25","seguro vida Emp","0.915192","32",,,
"1737.00","41.937","8685.633","SE","0.00","0","0","1","1","0","0","0","0","1","0","1","1","1","1","1","1","0","0","0","0","seguro auto","0.917863","25","seguro vida Emp","0.915192","32",,,
"1737.00","41.937","8685.633","SE","0.00","0","0","1","1","0","0","0","0","0","0","1","1","1","1","1","1","0","0","0","0","seguro auto","0.917863","25","seguro vida Emp","0.915192","32",,,
"1737.00","37.977","8217.82","NE","0.00","1","1","1","1","0","0","0","0","1","0","1","1","1","1","1","1","0","0","0","0",,,,,,,,,
"1737.00","37.977","8217.82","NE","0.00","1","1","1","1","0","0","0","0","1","0","1","0","1","0","0","0","0","1","0","0",,,,,,,,,
"1737.00","37.977","8217.82","NE","0.00","1","1","1","1","0","0","0","0","0","0","1","1","1","1","1","1","0","0","0","0",,,,,,,,,
"1737.00","41.937","8685.633","SE","0.00","0","0","1","1","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","seguro auto","0.917863","25","seguro vida Emp","0.915192","32",,,
"1737.00","37.977","8217.82","NE","0.00","1","1","1","1","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0",,,,,,,,,
"1764.00","28.751","8467.966","CO","0.00","1","1","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","Investimento CDB","0.879625","23","Emprestimo _educacao","0.801184","8",,,
"1784.00","35.288","7287.449","S","0.00","1","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0",,,,,,,,,
"1795.00","29.305","6833.19","SE","1.00","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","1","1",,,,,,,,,
"1812.00","34.565","7629.586","SE","0.00","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","seguro vida PF","0.834343","20",,,,,,
"1823.00","34.272","7307.962","SE","0.00","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Emprestimo _educacao","0.887269","58","Investimento Fundos_commodities","0.819101","124","Investimento LCI","0.810674","120"
"1824.00","41.534","8156.407","NE","1.00","0","1","0","0","1","0","0","1","1","0","0","0","0","1","1","1","1","1","1","1","Investimento Fundos_commodities","0.929554","97","Investimento LCI","0.925151","90","Seguro Residencial","0.811143","22"
"1829.00","61.711","7537.398","CO","1.00","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0",,,,,,,,,
"1837.00","33.614","6041.935","CO","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","Investimento CDB","0.834699","2","Investimento Fundos","0.803279","1",,,
"1879.00","22.494","6567.628","SE","0.00","1","0","0","0","0","0","1","0","1","1","0","0","1","0","0","0","0","0","0","0",,,,,,,,,
"1892.00","22.892","6110.506","NE","1.00","0","0","0","0","0","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","Investimento Fundos_cambiais","0.927414","61","Investimento Poupanca","0.853418","64",,,
"1904.00","24.925","7477.075","NE","1.00","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0",,,,,,,,,
"1904.00","24.925","7477.075","NE","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0",,,,,,,,,
"1904.00","24.925","7477.075","NE","1.00","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0",,,,,,,,,
"1904.00","42.399","15460.00","SE","1.00","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0",,,,,,,,,
"1904.00","42.399","15460.00","SE","1.00","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0",,,,,,,,,
"1904.00","24.925","7477.075","NE","1.00","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0",,,,,,,,,
"1904.00","42.399","15460.00","SE","1.00","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0",,,,,,,,,
"1904.00","42.399","15460.00","SE","1.00","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0",,,,,,,,,
"1947.00","46.398","5776.368","S","0.00","1","1","1","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0",,,,,,,,,
"1952.00","27.287","7001.666","NE","1.00","0","1","0","1","1","1","1","1","1","1","1","0","0","0","0","0","0","1","0","0","seguro vida PF","0.889935","34","seguro auto","0.887013","50",,,
"1955.00","21.845","6839.172","SE","1.00","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0",,,,,,,,,
"1971.00","28.568","7002.048","SE","0.00","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1",,,,,,,,,
"2000.00","34.422","8423.552","SE","1.00","1","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","Investimento Fundos_commodities","0.819101","124","Investimento LCI","0.810674","120",,,
"2002.00","45.903","7333.503","NE","1.00","0","1","0","0","1","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","Investimento Fundos_commodities","0.819101","124","Seguro Residencial","0.811143","22","Investimento LCI","0.810674","120"
"2010.00","25.983","7674.376","CO","0.00","0","0","0","0","1","1","1","1","1","0","0","0","0","0","0","0","0","0","1","1",,,,,,,,,
"2016.00","33.333","7683.901","SE","1.00","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","1","0",,,,,,,,,
"2064.00","28.429","7384.713","NE","0.00","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","1","0",,,,,,,,,
"2090.00","21.922","7536.042","CO","1.00","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0",,,,,,,,,
"2109.00","32.796","7579.859","N","0.00","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0",,,,,,,,,
"2120.00","34.516","6997.051","NE","1.00","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",,,,,,,,,
"2139.00","52.772","5169.263","N","1.00","0","1","0","0","1","1","1","1","1","1","1","0","0","0","0","0","1","0","1","1","Emprestimo _viagem","0.958788","57",,,,,,
"2140.00","18.543","7649.074","SE","0.00","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","Emprestimo _pessoal","0.822238","18","Emprestimo _limite_especial","0.816572","16",,,
"2147.00","46.568","7036.018","SE","0.00","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0",,,,,,,,,
"2197.00","52.547","6941.822","CO","1.00","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","Investimento CDB","0.803087","54",,,,,,
"2212.00","47.841","7522.239","SE","0.00","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","Seguro Residencial","0.954096","102","seguro vida PF","0.949859","76",,,
"2229.00","51.543","7241.186","SE","1.00","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","1","0","Investimento Fundos_commodities","0.831425","116","Investimento Fundos_cambiais","0.820611","121",,,
"2242.00","29.384","5793.228","CO","1.00","0","1","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0",,,,,,,,,
"2243.00","46.761","7866.38","N","0.00","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0",,,,,,,,,
"2262.00","61.518","6634.37","S","1.00","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0",,,,,,,,,
"2266.00","26.131","6786.349","NE","0.00","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","seguro vida PF","0.950225","26","seguro vida Emp","0.944348","48",,,
"2269.00","26.271","8344.881","SE","0.00","1","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,
"2273.00","57.684","7532.65","SE","1.00","0","0","0","0","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","1","Investimento CDB","0.89923","131",,,,,,
"2278.00","43.562","6927.297","SE","1.00","1","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0",,,,,,,,,
"2278.00","43.562","6927.297","SE","1.00","1","1","1","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0",,,,,,,,,
"2278.00","43.562","6927.297","SE","1.00","1","1","1","1","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0",,,,,,,,,
"2278.00","43.562","6927.297","SE","1.00","1","1","1","1","1","0","0","0","0","1","1","0","0","1","0","0","0","0","1","0",,,,,,,,,
"2278.00","37.417","7227.178","NE","1.00","1","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0",,,,,,,,,
"2278.00","37.417","7227.178","NE","1.00","1","1","1","1","1","0","0","0","0","1","1","0","0","1","0","0","0","0","1","0",,,,,,,,,
"2278.00","37.417","7227.178","NE","1.00","1","1","1","1","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0",,,,,,,,,
"2278.00","37.417","7227.178","NE","1.00","1","1","1","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0",,,,,,,,,
"2290.00","50.973","7283.805","S","0.00","0","0","0","1","1","1","1","1","1","1","1","0","1","0","0","0","0","0","1","0",,,,,,,,,
"2292.00","22.388","7431.646","SE","1.00","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","1","0","Emprestimo _pessoal","0.850508","19","Emprestimo _consignado","0.83672","17",,,
"2300.00","58.943","8243.65","CO","1.00","0","1","0","0","1","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","Investimento Fundos_commodities","0.819101","124","Seguro Residencial","0.811143","22","Investimento LCI","0.810674","120"
"2306.00","49.892","8063.82","S","1.00","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","1","1",,,,,,,,,
"2311.00","51.62","6839.336","CO","0.00","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","Investimento CDB","0.803087","54",,,,,,
"2325.00","63.281","7087.451","CO","0.00","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0",,,,,,,,,
"2325.00","24.615","7795.947","CO","0.00","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","1","1","Emprestimo _educacao","0.887269","58",,,,,,
"2325.00","63.281","7087.451","CO","0.00","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","1","1","Emprestimo _educacao","0.887269","58",,,,,,
"2325.00","63.281","7087.451","CO","0.00","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0",,,,,,,,,
"2325.00","63.281","7087.451","CO","0.00","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","1","1","Emprestimo _educacao","0.887269","58",,,,,,
"2325.00","24.615","7795.947","CO","0.00","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0",,,,,,,,,
"2325.00","24.615","7795.947","CO","0.00","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0",,,,,,,,,
"2325.00","24.615","7795.947","CO","0.00","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","1","1","Emprestimo _educacao","0.887269","58",,,,,,
"2330.00","35.737","7711.676","S","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","Investimento CDB","0.879625","23","Emprestimo _educacao","0.801184","8",,,
"2353.00","42.374","6831.69","NE","1.00","1","1","1","1","1","0","0","1","1","0","0","1","1","1","1","1","0","0","1","0","Investimento Fundos_commodities","0.929554","97","Investimento LCI","0.925151","90",,,
"2355.00","55.214","7813.897","NE","1.00","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0",,,,,,,,,
"2356.00","28.118","7753.061","CO","0.00","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0",,,,,,,,,
"2372.00","26.965","8514.863","NE","1.00","0","1","0","1","1","0","0","0","1","0","1","1","0","0","0","0","0","0","0","1","seguro vida PF","0.889935","34","seguro auto","0.887013","50",,,
"2379.00","22.556","7407.553","SE","1.00","1","1","1","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0",,,,,,,,,
"2384.00","52.424","7329.425","CO","0.00","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","1","Investimento Fundos_cambiais","0.956314","132",,,,,,
"2412.00","33.934","6447.378","N","1.00","1","0","0","0","1","1","1","1","0","1","0","0","0","0","0","0","1","1","1","1","Investimento Poupanca","0.946621","126",,,,,,
"2412.00","40.661","8939.678","S","1.00","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0",,,,,,,,,
"2412.00","40.661","8939.678","S","1.00","0","0","0","1","1","1","1","1","0","1","0","0","0","0","0","0","0","0","1","0","Investimento Poupanca","0.946621","126",,,,,,
"2412.00","40.661","8939.678","S","1.00","0","0","0","1","1","1","1","1","0","1","0","0","0","0","0","0","1","1","1","1","Investimento Poupanca","0.946621","126",,,,,,
"2412.00","40.661","8939.678","S","1.00","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1","1",,,,,,,,,
"2412.00","33.934","6447.378","N","1.00","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0",,,,,,,,,
